batch_id,timestamp,production_line,warehouse_zone,container_yard,garment_type,units,production_time_sec,conveyor_speed_mps,warehouse_processing_sec,storage_retrieval_sec,yard_crane_time_sec,total_port_dwell_sec,shift,day_of_week
B022,2026-08-01 13:15:00,Line_Alpha,Zone_A,Yard_1,Shirts,380,1150,1.15,215,47,165,450,Afternoon,Monday
B023,2026-08-01 13:30:00,Line_Beta,Zone_B,Yard_2,Trousers,450,870,0.87,145,75,225,560,Afternoon,Monday
B024,2026-08-01 13:45:00,Line_Gamma,Zone_C,Yard_3,Jackets,290,1750,1.75,290,43,108,390,Afternoon,Monday
B025,2026-08-01 14:00:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,550,1220,1.22,188,48,122,405,Afternoon,Monday
B026,2026-08-01 14:15:00,Line_Beta,Zone_B,Yard_2,Jeans,330,940,0.94,165,60,195,500,Afternoon,Monday
B027,2026-08-01 14:30:00,Line_Gamma,Zone_C,Yard_3,Dress,260,1580,1.58,235,36,88,315,Afternoon,Monday
B028,2026-08-01 14:45:00,Line_Alpha,Zone_A,Yard_1,Shirts,490,1020,1.02,220,45,145,425,Afternoon,Monday
B029,2026-08-01 15:00:00,Line_Beta,Zone_B,Yard_2,Trousers,350,880,0.88,135,70,210,545,Afternoon,Monday
B030,2026-08-01 15:15:00,Line_Gamma,Zone_C,Yard_3,Jackets,310,1650,1.65,260,40,100,355,Afternoon,Monday
B031,2026-08-01 15:30:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,440,1240,1.24,192,49,130,415,Afternoon,Monday
B032,2026-08-01 15:45:00,Line_Beta,Zone_B,Yard_2,Jeans,420,910,0.91,160,63,185,485,Afternoon,Monday
B033,2026-08-01 16:00:00,Line_Gamma,Zone_C,Yard_3,Dress,240,1520,1.52,225,34,90,325,Evening,Monday
B034,2026-08-01 16:15:00,Line_Alpha,Zone_A,Yard_1,Shirts,530,1000,1.0,200,44,140,435,Evening,Monday
B035,2026-08-01 16:30:00,Line_Beta,Zone_B,Yard_2,Trousers,480,860,0.86,125,65,200,540,Evening,Monday
B036,2026-08-01 16:45:00,Line_Gamma,Zone_C,Yard_3,Jackets,210,1950,1.95,330,45,115,395,Evening,Monday
B037,2026-08-01 17:00:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,510,1210,1.21,190,47,125,408,Evening,Monday
B038,2026-08-01 17:15:00,Line_Beta,Zone_B,Yard_2,Jeans,290,960,0.96,175,64,190,495,Evening,Monday
B039,2026-08-01 17:30:00,Line_Gamma,Zone_C,Yard_3,Dress,340,1480,1.48,240,33,85,330,Evening,Monday
B040,2026-08-01 17:45:00,Line_Alpha,Zone_A,Yard_1,Shirts,370,1120,1.12,210,43,150,445,Evening,Monday
B041,2026-08-02 08:00:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,600,1100,1.1,200,55,180,420,Morning,Tuesday
B042,2026-08-02 08:15:00,Line_Beta,Zone_C,Yard_3,Jeans,350,850,0.85,160,70,220,500,Morning,Tuesday
B043,2026-08-02 08:30:00,Line_Gamma,Zone_A,Yard_1,Dress,220,1400,1.4,230,40,100,340,Morning,Tuesday
B044,2026-08-02 08:45:00,Line_Alpha,Zone_B,Yard_2,Shirts,450,1050,1.05,210,60,170,450,Morning,Tuesday
B045,2026-08-02 09:00:00,Line_Beta,Zone_C,Yard_3,Trousers,500,800,0.8,140,75,240,560,Morning,Tuesday
B046,2026-08-02 09:15:00,Line_Gamma,Zone_A,Yard_1,Jackets,280,1700,1.7,280,45,110,380,Morning,Tuesday
B047,2026-08-02 09:30:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,380,1200,1.2,195,50,150,410,Morning,Tuesday
B048,2026-08-02 09:45:00,Line_Beta,Zone_C,Yard_3,Jeans,420,900,0.9,165,65,210,500,Morning,Tuesday
B049,2026-08-02 10:00:00,Line_Gamma,Zone_A,Yard_1,Dress,260,1500,1.5,240,35,90,330,Morning,Tuesday
B050,2026-08-02 10:15:00,Line_Alpha,Zone_B,Yard_2,Shirts,480,1000,1.0,220,50,160,440,Morning,Tuesday
B051,2026-08-02 10:30:00,Line_Beta,Zone_C,Yard_3,Trousers,340,820,0.82,145,72,230,550,Morning,Tuesday
B052,2026-08-02 10:45:00,Line_Gamma,Zone_A,Yard_1,Jackets,250,1750,1.75,290,42,105,390,Morning,Tuesday
B053,2026-08-02 11:00:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,520,1180,1.18,190,48,140,415,Morning,Tuesday
B054,2026-08-02 11:15:00,Line_Beta,Zone_C,Yard_3,Jeans,390,880,0.88,170,68,215,490,Morning,Tuesday
B055,2026-08-02 11:30:00,Line_Gamma,Zone_A,Yard_1,Dress,230,1450,1.45,235,38,95,335,Morning,Tuesday
B056,2026-08-02 11:45:00,Line_Alpha,Zone_B,Yard_2,Shirts,410,1080,1.08,215,52,165,450,Morning,Tuesday
B057,2026-08-02 12:00:00,Line_Beta,Zone_C,Yard_3,Trousers,580,780,0.78,130,78,250,570,Afternoon,Tuesday
B058,2026-08-02 12:15:00,Line_Gamma,Zone_A,Yard_1,Jackets,210,1800,1.8,300,40,115,385,Afternoon,Tuesday
B059,2026-08-02 12:30:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,460,1150,1.15,185,45,135,420,Afternoon,Tuesday
B060,2026-08-02 12:45:00,Line_Beta,Zone_C,Yard_3,Jeans,360,920,0.92,155,62,200,485,Afternoon,Tuesday
B061,2026-08-02 13:00:00,Line_Gamma,Zone_A,Yard_1,Dress,310,1380,1.38,220,32,88,325,Afternoon,Tuesday
B062,2026-08-02 13:15:00,Line_Alpha,Zone_B,Yard_2,Shirts,440,1020,1.02,225,55,155,445,Afternoon,Tuesday
B063,2026-08-02 13:30:00,Line_Beta,Zone_C,Yard_3,Trousers,470,840,0.84,135,76,240,560,Afternoon,Tuesday
B064,2026-08-02 13:45:00,Line_Gamma,Zone_A,Yard_1,Jackets,300,1650,1.65,270,44,108,390,Afternoon,Tuesday
B065,2026-08-02 14:00:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,540,1200,1.2,195,50,145,418,Afternoon,Tuesday
B066,2026-08-02 14:15:00,Line_Beta,Zone_C,Yard_3,Jeans,310,950,0.95,168,60,210,495,Afternoon,Tuesday
B067,2026-08-02 14:30:00,Line_Gamma,Zone_A,Yard_1,Dress,280,1480,1.48,245,34,92,338,Afternoon,Tuesday
B068,2026-08-02 14:45:00,Line_Alpha,Zone_B,Yard_2,Shirts,500,1060,1.06,210,48,158,448,Afternoon,Tuesday
B069,2026-08-02 15:00:00,Line_Beta,Zone_C,Yard_3,Trousers,320,860,0.86,140,70,225,545,Afternoon,Tuesday
B070,2026-08-02 15:15:00,Line_Gamma,Zone_A,Yard_1,Jackets,240,1720,1.72,285,46,112,398,Afternoon,Tuesday
B071,2026-08-02 15:30:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,480,1160,1.16,190,52,142,422,Afternoon,Tuesday
B072,2026-08-02 15:45:00,Line_Beta,Zone_C,Yard_3,Jeans,430,890,0.89,160,64,205,488,Afternoon,Tuesday
B073,2026-08-02 16:00:00,Line_Gamma,Zone_A,Yard_1,Dress,200,1500,1.5,250,36,96,345,Evening,Tuesday
B074,2026-08-02 16:15:00,Line_Alpha,Zone_B,Yard_2,Shirts,550,1040,1.04,215,50,160,455,Evening,Tuesday
B075,2026-08-02 16:30:00,Line_Beta,Zone_C,Yard_3,Trousers,490,810,0.81,130,74,235,550,Evening,Tuesday
B076,2026-08-02 16:45:00,Line_Gamma,Zone_A,Yard_1,Jackets,220,1850,1.85,310,43,118,400,Evening,Tuesday
B077,2026-08-02 17:00:00,Line_Alpha,Zone_B,Yard_2,T-Shirt,530,1190,1.19,188,47,138,425,Evening,Tuesday
B078,2026-08-02 17:15:00,Line_Beta,Zone_C,Yard_3,Jeans,280,970,0.97,175,66,215,500,Evening,Tuesday
B079,2026-08-02 17:30:00,Line_Gamma,Zone_A,Yard_1,Dress,330,1420,1.42,230,30,85,330,Evening,Tuesday
B080,2026-08-02 17:45:00,Line_Alpha,Zone_B,Yard_2,Shirts,390,1100,1.1,220,45,165,448,Evening,Tuesday
B081,2026-08-03 08:00:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,620,1050,1.05,210,60,190,430,Morning,Wednesday
B082,2026-08-03 08:15:00,Line_Beta,Zone_A,Yard_1,Jeans,370,820,0.82,150,72,230,510,Morning,Wednesday
B083,2026-08-03 08:30:00,Line_Gamma,Zone_B,Yard_2,Dress,240,1350,1.35,240,42,105,350,Morning,Wednesday
B084,2026-08-03 08:45:00,Line_Alpha,Zone_C,Yard_3,Shirts,430,1020,1.02,220,58,175,460,Morning,Wednesday
B085,2026-08-03 09:00:00,Line_Beta,Zone_A,Yard_1,Trousers,520,780,0.78,140,76,245,570,Morning,Wednesday
B086,2026-08-03 09:15:00,Line_Gamma,Zone_B,Yard_2,Jackets,290,1650,1.65,280,48,115,395,Morning,Wednesday
B087,2026-08-03 09:30:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,400,1150,1.15,195,55,155,430,Morning,Wednesday
B088,2026-08-03 09:45:00,Line_Beta,Zone_A,Yard_1,Jeans,450,880,0.88,160,68,220,510,Morning,Wednesday
B089,2026-08-03 10:00:00,Line_Gamma,Zone_B,Yard_2,Dress,270,1450,1.45,245,38,95,345,Morning,Wednesday
B090,2026-08-03 10:15:00,Line_Alpha,Zone_C,Yard_3,Shirts,490,990,0.99,215,50,165,455,Morning,Wednesday
B091,2026-08-03 10:30:00,Line_Beta,Zone_A,Yard_1,Trousers,360,800,0.8,145,74,240,560,Morning,Wednesday
B092,2026-08-03 10:45:00,Line_Gamma,Zone_B,Yard_2,Jackets,260,1700,1.7,290,45,110,400,Morning,Wednesday
B093,2026-08-03 11:00:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,540,1120,1.12,200,52,150,425,Morning,Wednesday
B094,2026-08-03 11:15:00,Line_Beta,Zone_A,Yard_1,Jeans,400,900,0.9,165,65,215,495,Morning,Wednesday
B095,2026-08-03 11:30:00,Line_Gamma,Zone_B,Yard_2,Dress,250,1480,1.48,238,35,90,340,Morning,Wednesday
B096,2026-08-03 11:45:00,Line_Alpha,Zone_C,Yard_3,Shirts,470,1050,1.05,225,48,160,450,Morning,Wednesday
B097,2026-08-03 12:00:00,Line_Beta,Zone_A,Yard_1,Trousers,590,760,0.76,130,80,255,580,Afternoon,Wednesday
B098,2026-08-03 12:15:00,Line_Gamma,Zone_B,Yard_2,Jackets,230,1780,1.78,305,42,120,405,Afternoon,Wednesday
B099,2026-08-03 12:30:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,480,1140,1.14,190,50,145,428,Afternoon,Wednesday
B100,2026-08-03 12:45:00,Line_Beta,Zone_A,Yard_1,Jeans,380,920,0.92,155,62,210,500,Afternoon,Wednesday
B101,2026-08-03 13:00:00,Line_Gamma,Zone_B,Yard_2,Dress,320,1320,1.32,230,34,92,335,Afternoon,Wednesday
B102,2026-08-03 13:15:00,Line_Alpha,Zone_C,Yard_3,Shirts,460,1010,1.01,230,55,165,460,Afternoon,Wednesday
B103,2026-08-03 13:30:00,Line_Beta,Zone_A,Yard_1,Trousers,490,830,0.83,135,78,245,565,Afternoon,Wednesday
B104,2026-08-03 13:45:00,Line_Gamma,Zone_B,Yard_2,Jackets,310,1620,1.62,275,46,112,398,Afternoon,Wednesday
B105,2026-08-03 14:00:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,560,1180,1.18,198,48,140,422,Afternoon,Wednesday
B106,2026-08-03 14:15:00,Line_Beta,Zone_A,Yard_1,Jeans,330,960,0.96,170,60,205,495,Afternoon,Wednesday
B107,2026-08-03 14:30:00,Line_Gamma,Zone_B,Yard_2,Dress,290,1420,1.42,240,32,88,330,Afternoon,Wednesday
B108,2026-08-03 14:45:00,Line_Alpha,Zone_C,Yard_3,Shirts,520,1040,1.04,220,50,155,455,Afternoon,Wednesday
B109,2026-08-03 15:00:00,Line_Beta,Zone_A,Yard_1,Trousers,340,850,0.85,140,72,230,545,Afternoon,Wednesday
B110,2026-08-03 15:15:00,Line_Gamma,Zone_B,Yard_2,Jackets,255,1680,1.68,285,44,108,395,Afternoon,Wednesday
B111,2026-08-03 15:30:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,500,1160,1.16,192,52,138,425,Afternoon,Wednesday
B112,2026-08-03 15:45:00,Line_Beta,Zone_A,Yard_1,Jeans,440,890,0.89,162,64,215,490,Afternoon,Wednesday
B113,2026-08-03 16:00:00,Line_Gamma,Zone_B,Yard_2,Dress,210,1500,1.5,250,36,98,345,Evening,Wednesday
B114,2026-08-03 16:15:00,Line_Alpha,Zone_C,Yard_3,Shirts,570,1020,1.02,215,48,165,460,Evening,Wednesday
B115,2026-08-03 16:30:00,Line_Beta,Zone_A,Yard_1,Trousers,510,800,0.8,128,76,240,555,Evening,Wednesday
B116,2026-08-03 16:45:00,Line_Gamma,Zone_B,Yard_2,Jackets,225,1820,1.82,315,45,115,405,Evening,Wednesday
B117,2026-08-03 17:00:00,Line_Alpha,Zone_C,Yard_3,T-Shirt,550,1150,1.15,195,50,142,430,Evening,Wednesday
B118,2026-08-03 17:15:00,Line_Beta,Zone_A,Yard_1,Jeans,300,980,0.98,175,68,220,510,Evening,Wednesday
B119,2026-08-03 17:30:00,Line_Gamma,Zone_B,Yard_2,Dress,340,1380,1.38,235,34,90,340,Evening,Wednesday
B120,2026-08-03 17:45:00,Line_Alpha,Zone_C,Yard_3,Shirts,410,1080,1.08,225,46,160,455,Evening,Wednesday
B121,2026-08-04 08:00:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,580,1080,1.08,205,55,170,425,Morning,Thursday
B122,2026-08-04 08:15:00,Line_Beta,Zone_B,Yard_3,Jeans,360,840,0.84,155,68,225,505,Morning,Thursday
B123,2026-08-04 08:30:00,Line_Gamma,Zone_C,Yard_1,Dress,250,1380,1.38,245,40,100,350,Morning,Thursday
B124,2026-08-04 08:45:00,Line_Alpha,Zone_A,Yard_2,Shirts,440,1000,1.0,220,55,165,455,Morning,Thursday
B125,2026-08-04 09:00:00,Line_Beta,Zone_B,Yard_3,Trousers,530,790,0.79,135,74,240,560,Morning,Thursday
B126,2026-08-04 09:15:00,Line_Gamma,Zone_C,Yard_1,Jackets,270,1720,1.72,290,42,110,395,Morning,Thursday
B127,2026-08-04 09:30:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,410,1180,1.18,200,50,155,430,Morning,Thursday
B128,2026-08-04 09:45:00,Line_Beta,Zone_B,Yard_3,Jeans,460,890,0.89,165,65,220,505,Morning,Thursday
B129,2026-08-04 10:00:00,Line_Gamma,Zone_C,Yard_1,Dress,280,1480,1.48,240,36,95,345,Morning,Thursday
B130,2026-08-04 10:15:00,Line_Alpha,Zone_A,Yard_2,Shirts,500,1020,1.02,215,52,160,455,Morning,Thursday
B131,2026-08-04 10:30:00,Line_Beta,Zone_B,Yard_3,Trousers,370,810,0.81,140,72,235,550,Morning,Thursday
B132,2026-08-04 10:45:00,Line_Gamma,Zone_C,Yard_1,Jackets,240,1750,1.75,300,45,115,400,Morning,Thursday
B133,2026-08-04 11:00:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,520,1150,1.15,195,48,148,425,Morning,Thursday
B134,2026-08-04 11:15:00,Line_Beta,Zone_B,Yard_3,Jeans,390,910,0.91,160,62,215,495,Morning,Thursday
B135,2026-08-04 11:30:00,Line_Gamma,Zone_C,Yard_1,Dress,230,1450,1.45,235,38,92,338,Morning,Thursday
B136,2026-08-04 11:45:00,Line_Alpha,Zone_A,Yard_2,Shirts,480,1050,1.05,225,50,162,455,Morning,Thursday
B137,2026-08-04 12:00:00,Line_Beta,Zone_B,Yard_3,Trousers,600,770,0.77,130,78,250,570,Afternoon,Thursday
B138,2026-08-04 12:15:00,Line_Gamma,Zone_C,Yard_1,Jackets,220,1850,1.85,310,44,118,405,Afternoon,Thursday
B139,2026-08-04 12:30:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,470,1160,1.16,190,52,142,425,Afternoon,Thursday
B140,2026-08-04 12:45:00,Line_Beta,Zone_B,Yard_3,Jeans,370,930,0.93,158,60,210,498,Afternoon,Thursday
B141,2026-08-04 13:00:00,Line_Gamma,Zone_C,Yard_1,Dress,330,1350,1.35,225,34,88,330,Afternoon,Thursday
B142,2026-08-04 13:15:00,Line_Alpha,Zone_A,Yard_2,Shirts,450,1030,1.03,230,55,165,460,Afternoon,Thursday
B143,2026-08-04 13:30:00,Line_Beta,Zone_B,Yard_3,Trousers,480,830,0.83,138,76,240,560,Afternoon,Thursday
B144,2026-08-04 13:45:00,Line_Gamma,Zone_C,Yard_1,Jackets,300,1650,1.65,275,42,108,395,Afternoon,Thursday
B145,2026-08-04 14:00:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,540,1120,1.12,198,50,145,428,Afternoon,Thursday
B146,2026-08-04 14:15:00,Line_Beta,Zone_B,Yard_3,Jeans,320,940,0.94,165,62,205,498,Afternoon,Thursday
B147,2026-08-04 14:30:00,Line_Gamma,Zone_C,Yard_1,Dress,270,1400,1.4,238,32,90,335,Afternoon,Thursday
B148,2026-08-04 14:45:00,Line_Alpha,Zone_A,Yard_2,Shirts,510,1010,1.01,220,48,158,455,Afternoon,Thursday
B149,2026-08-04 15:00:00,Line_Beta,Zone_B,Yard_3,Trousers,350,850,0.85,142,70,230,545,Afternoon,Thursday
B150,2026-08-04 15:15:00,Line_Gamma,Zone_C,Yard_1,Jackets,265,1700,1.7,288,46,112,400,Afternoon,Thursday
B151,2026-08-04 15:30:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,490,1180,1.18,192,48,140,422,Afternoon,Thursday
B152,2026-08-04 15:45:00,Line_Beta,Zone_B,Yard_3,Jeans,430,900,0.9,160,64,215,490,Afternoon,Thursday
B153,2026-08-04 16:00:00,Line_Gamma,Zone_C,Yard_1,Dress,215,1500,1.5,248,36,95,345,Evening,Thursday
B154,2026-08-04 16:15:00,Line_Alpha,Zone_A,Yard_2,Shirts,560,1050,1.05,215,50,165,460,Evening,Thursday
B155,2026-08-04 16:30:00,Line_Beta,Zone_B,Yard_3,Trousers,520,810,0.81,128,76,245,555,Evening,Thursday
B156,2026-08-04 16:45:00,Line_Gamma,Zone_C,Yard_1,Jackets,235,1800,1.8,312,44,115,405,Evening,Thursday
B157,2026-08-04 17:00:00,Line_Alpha,Zone_A,Yard_2,T-Shirt,530,1160,1.16,195,52,142,430,Evening,Thursday
B158,2026-08-04 17:15:00,Line_Beta,Zone_B,Yard_3,Jeans,310,960,0.96,170,66,220,500,Evening,Thursday
B159,2026-08-04 17:30:00,Line_Gamma,Zone_C,Yard_1,Dress,320,1350,1.35,230,34,92,338,Evening,Thursday
B160,2026-08-04 17:45:00,Line_Alpha,Zone_A,Yard_2,Shirts,420,1080,1.08,225,46,162,458,Evening,Thursday
B161,2026-08-05 08:00:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,590,1060,1.06,210,55,175,435,Morning,Friday
B162,2026-08-05 08:15:00,Line_Beta,Zone_C,Yard_2,Jeans,380,830,0.83,155,70,230,510,Morning,Friday
B163,2026-08-05 08:30:00,Line_Gamma,Zone_A,Yard_3,Dress,260,1400,1.4,240,40,100,350,Morning,Friday
B164,2026-08-05 08:45:00,Line_Alpha,Zone_B,Yard_1,Shirts,470,1020,1.02,220,55,170,460,Morning,Friday
B165,2026-08-05 09:00:00,Line_Beta,Zone_C,Yard_2,Trousers,540,780,0.78,135,78,245,570,Morning,Friday
B166,2026-08-05 09:15:00,Line_Gamma,Zone_A,Yard_3,Jackets,280,1700,1.7,285,45,115,395,Morning,Friday
B167,2026-08-05 09:30:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,420,1180,1.18,200,50,160,435,Morning,Friday
B168,2026-08-05 09:45:00,Line_Beta,Zone_C,Yard_2,Jeans,470,880,0.88,162,68,225,510,Morning,Friday
B169,2026-08-05 10:00:00,Line_Gamma,Zone_A,Yard_3,Dress,290,1450,1.45,245,38,95,345,Morning,Friday
B170,2026-08-05 10:15:00,Line_Alpha,Zone_B,Yard_1,Shirts,510,990,0.99,215,52,165,465,Morning,Friday
B171,2026-08-05 10:30:00,Line_Beta,Zone_C,Yard_2,Trousers,380,800,0.8,140,74,235,555,Morning,Friday
B172,2026-08-05 10:45:00,Line_Gamma,Zone_A,Yard_3,Jackets,250,1720,1.72,295,44,110,400,Morning,Friday
B173,2026-08-05 11:00:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,530,1120,1.12,195,50,148,430,Morning,Friday
B174,2026-08-05 11:15:00,Line_Beta,Zone_C,Yard_2,Jeans,410,900,0.9,160,65,215,500,Morning,Friday
B175,2026-08-05 11:30:00,Line_Gamma,Zone_A,Yard_3,Dress,240,1480,1.48,235,36,92,340,Morning,Friday
B176,2026-08-05 11:45:00,Line_Alpha,Zone_B,Yard_1,Shirts,490,1050,1.05,225,50,165,460,Morning,Friday
B177,2026-08-05 12:00:00,Line_Beta,Zone_C,Yard_2,Trousers,610,760,0.76,128,80,250,580,Afternoon,Friday
B178,2026-08-05 12:15:00,Line_Gamma,Zone_A,Yard_3,Jackets,230,1780,1.78,305,42,120,405,Afternoon,Friday
B179,2026-08-05 12:30:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,480,1160,1.16,190,52,145,430,Afternoon,Friday
B180,2026-08-05 12:45:00,Line_Beta,Zone_C,Yard_2,Jeans,390,920,0.92,158,62,210,498,Afternoon,Friday
B181,2026-08-05 13:00:00,Line_Gamma,Zone_A,Yard_3,Dress,340,1320,1.32,225,34,90,335,Afternoon,Friday
B182,2026-08-05 13:15:00,Line_Alpha,Zone_B,Yard_1,Shirts,460,1030,1.03,230,55,168,460,Afternoon,Friday
B183,2026-08-05 13:30:00,Line_Beta,Zone_C,Yard_2,Trousers,500,820,0.82,135,76,240,560,Afternoon,Friday
B184,2026-08-05 13:45:00,Line_Gamma,Zone_A,Yard_3,Jackets,310,1620,1.62,275,46,112,398,Afternoon,Friday
B185,2026-08-05 14:00:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,560,1100,1.1,198,48,142,430,Afternoon,Friday
B186,2026-08-05 14:15:00,Line_Beta,Zone_C,Yard_2,Jeans,340,930,0.93,165,60,215,498,Afternoon,Friday
B187,2026-08-05 14:30:00,Line_Gamma,Zone_A,Yard_3,Dress,280,1420,1.42,240,32,88,335,Afternoon,Friday
B188,2026-08-05 14:45:00,Line_Alpha,Zone_B,Yard_1,Shirts,520,1000,1.0,220,50,160,460,Afternoon,Friday
B189,2026-08-05 15:00:00,Line_Beta,Zone_C,Yard_2,Trousers,360,840,0.84,140,72,235,550,Afternoon,Friday
B190,2026-08-05 15:15:00,Line_Gamma,Zone_A,Yard_3,Jackets,270,1680,1.68,285,44,108,395,Afternoon,Friday
B191,2026-08-05 15:30:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,510,1150,1.15,192,50,145,428,Afternoon,Friday
B192,2026-08-05 15:45:00,Line_Beta,Zone_C,Yard_2,Jeans,440,890,0.89,160,64,220,490,Afternoon,Friday
B193,2026-08-05 16:00:00,Line_Gamma,Zone_A,Yard_3,Dress,220,1500,1.5,250,36,98,345,Evening,Friday
B194,2026-08-05 16:15:00,Line_Alpha,Zone_B,Yard_1,Shirts,570,1020,1.02,215,48,168,460,Evening,Friday
B195,2026-08-05 16:30:00,Line_Beta,Zone_C,Yard_2,Trousers,530,790,0.79,130,78,245,560,Evening,Friday
B196,2026-08-05 16:45:00,Line_Gamma,Zone_A,Yard_3,Jackets,225,1820,1.82,310,45,118,405,Evening,Friday
B197,2026-08-05 17:00:00,Line_Alpha,Zone_B,Yard_1,T-Shirt,550,1140,1.14,195,50,148,435,Evening,Friday
B198,2026-08-05 17:15:00,Line_Beta,Zone_C,Yard_2,Jeans,320,950,0.95,170,68,225,500,Evening,Friday
B199,2026-08-05 17:30:00,Line_Gamma,Zone_A,Yard_3,Dress,300,1350,1.35,230,34,92,340,Evening,Friday
B200,2026-08-05 17:45:00,Line_Alpha,Zone_B,Yard_1,Shirts,430,1080,1.08,225,46,165,460,Evening,Friday
